32,1.288e-07,0.000462955,,
64,2.09e-07,0.000657589,,
128,3.814e-07,0.000178385,,
256,7.114e-07,0.000186589,,
512,1.3684e-06,0.000205558,,
1024,2.8682e-06,0.000193807,,
2048,6.3912e-06,0.0002027,,
4096,1.06454e-05,0.000209941,,
8192,2.123e-05,0.000201111,,
16384,4.99782e-05,0.000193394,,
32768,8.52612e-05,0.000203554,,
65536,0.000200149,0.000186778,,
131072,0.000339715,0.000199765,,
262144,0.000678712,0.000194702,,
524288,0.00136759,0.000227085,,
1.04858e+06,0.00274869,0.000321293,,
2.09715e+06,0.0054244,0.000478779,,
4.1943e+06,0.0108959,0.000624193,,
8.38861e+06,0.0222453,0.00236474,,
1.67772e+07,0.0451345,0.0073686,,
3.35544e+07,0.0912262,0.0176431,,
6.71089e+07,0.185354,0.0358334,,
1.34218e+08,0.365453,0.0683327,,
2.68435e+08,0.705046,0.13043,,
5.36871e+08,1.41191,0.258503,,
1.07374e+09,2.7889,0.508953,,
